Segment ID,Project Name,Project Number,Organization Name,Vendor ID,Contract Number,Contract Description,GC Phase Code,GC Phase Code Description,Breakout Code,Breakout Code Description,Invoice Code,Invoice Code Description,Handling Code,Handling Code Description,Account Code,Subcontract Item Number,Category Code,Subjob,Sub Phase Code,Sub Phase Code Description,Scheduled Value Amount,Net Change by Change Order,Contract Sum To Date,Total Billed To Date,Total Percent Complete To Date,Total Retention To Date,Total Balance Due
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"016:CO-016.02-CO-016.03  Houston Street, Jet Grout Test Program",,,,,,,0000-0200,016*IPCRP1*S*1303527800,S,IPCRP1,016*IPCRP1*S*1303527800,"016:CO-016.02-CO-016.03  Houston Street, Jet Grout Test Program",0.00,"387,930.00","387,930.00","387,891.21",99.99,"19,394.56","19,433.35"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"016:CO-016.03-CO-016.04 Houston St, Demobilization Test Program",,,,,,,0000-0202,016*IPCRP1*S*1303533900,S,IPCRP1,016*IPCRP1*S*1303533900,"016:CO-016.03-CO-016.04 Houston St, Demobilization Test Program",0.00,"122,100.00","122,100.00","122,100.00",100.00,"6,105.00","6,105.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,017:CO-017.01-CO-017.01  Houston Street Retaining Wall Jet Grout - Pilot,,,,,,,0000-0203,017*IPCRP1*S*1303669710,S,IPCRP1,017*IPCRP1*S*1303669710,017:CO-017.01-CO-017.01  Houston Street Retaining Wall Jet Grout - Pilot,0.00,"807,500.00","807,500.00","807,500.00",100.00,"40,375.00","40,375.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,017:CO-017.02-CO-017.02 Houston Street Retaining Wall Jet Grout - Production,,,,,,,0000-0203,017*IPCRP1*S*1303669711,S,IPCRP1,017*IPCRP1*S*1303669711,017:CO-017.02-CO-017.02 Houston Street Retaining Wall Jet Grout - Production,0.00,"9,215,660.00","9,215,660.00","9,215,660.00",100.00,"460,783.00","460,783.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,017:CO-017.03-CO-017.03  Houston Street Retaining Wall Jet Grout - Obstructed,,,,,,,0000-0203,017*IPCRP1*S*1303669712,S,IPCRP1,017*IPCRP1*S*1303669712,017:CO-017.03-CO-017.03  Houston Street Retaining Wall Jet Grout - Obstructed,0.00,"2,526,120.00","2,526,120.00","2,526,120.00",100.00,"126,306.00","126,306.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"018:CO-018.01-CO-018.01 Mobilization/Demobilization  Reach B, VECP#11/15 Area",,,,,,,0009-1000,018*IPCRP1*S*1303713793,S,IPCRP1,018*IPCRP1*S*1303713793,"018:CO-018.01-CO-018.01 Mobilization/Demobilization  Reach B, VECP#11/15 Area",0.00,"180,500.00","180,500.00","180,500.00",100.00,"9,025.00","9,025.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,018:CO-018.02-CO-018.02  Unobstructed Jet Grouting (ESCR-2.FD Jet Grout for Gate and Floodwall Foundation) (Day Shift),,,,,,,0009-1000,018*IPCRP1*S*1303713795,S,IPCRP1,018*IPCRP1*S*1303713795,018:CO-018.02-CO-018.02  Unobstructed Jet Grouting (ESCR-2.FD Jet Grout for Gate and Floodwall Foundation) (Day Shift),0.00,"515,198.00","515,198.00","515,198.00",100.00,"25,759.90","25,759.90"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,018:CO-018.03-CO-018.03  Unobstructed angled jet grouting (ESCR-2.A Jet Grout for Gate and Floodwall Foundation) (Day Shift),,,,,,,0009-1000,018*IPCRP1*S*1303713796,S,IPCRP1,018*IPCRP1*S*1303713796,018:CO-018.03-CO-018.03  Unobstructed angled jet grouting (ESCR-2.A Jet Grout for Gate and Floodwall Foundation) (Day Shift),0.00,"30,625.00","30,625.00","30,625.00",100.00,"1,531.25","1,531.25"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,018:CO-018.04-CO-018.04  Unobstructed Jet Grouting (ESCR-2.FD Jet Grout for Gate and Floodwall Foundation) (Night Shift),,,,,,,0009-1000,018*IPCRP1*S*1303713797,S,IPCRP1,018*IPCRP1*S*1303713797,018:CO-018.04-CO-018.04  Unobstructed Jet Grouting (ESCR-2.FD Jet Grout for Gate and Floodwall Foundation) (Night Shift),0.00,"1,200,870.00","1,200,870.00","1,200,870.00",100.00,"60,043.50","60,043.50"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"Keller North America, Inc.",KELL03,IPCRP1-48,Wick Drain-Stone Column,,"018:CO-018.05-CO-018.05 Obstructed Drilling/Standby Rate  Reach B, VECP#11/15 Area",,,,,,,0009-1000,018*IPCRP1*S*1303717230,S,IPCRP1,018*IPCRP1*S*1303717230,"018:CO-018.05-CO-018.05 Obstructed Drilling/Standby Rate  Reach B, VECP#11/15 Area",0.00,"100,000.00","100,000.00","100,000.00",100.00,"5,000.00","5,000.00"
